Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Whole Document,SMTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.5,0.143,0.222,0.1,0.045,0.063,0.1,0.045,0.063
Whole Document,SMTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.364,0.2,0.258,0.727,0.4,0.516
Whole Document,TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.174,0.2,0.186,0.348,0.4,0.372
Whole Document,TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,TCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.65,0.65,0.65,0.7,0.7,0.7
Whole Document,TCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.233,0.5,0.317,0.349,0.75,0.476
Whole Document,TCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.391,0.45,0.419,0.478,0.55,0.512
Whole Document,TCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.909,0.909,0.909,0.36,0.45,0.4,0.48,0.6,0.533
Fixed Token Splitting,BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.429,1.0,0.6,0.483,0.538,0.509,0.414,0.462,0.436
Fixed Token Splitting,BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.545,1.0,0.706,0.369,0.923,0.527,0.338,0.846,0.484
Fixed Token Splitting,BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.667,1.0,0.8,0.324,0.885,0.474,0.338,0.923,0.495
Fixed Token Splitting,BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.377,0.885,0.529,0.393,0.923,0.552
Fixed Token Splitting,BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.397,0.885,0.548,0.379,0.846,0.524
Fixed Token Splitting,BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.274,0.769,0.404,0.247,0.692,0.364
Fixed Token Splitting,BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.247,0.769,0.374,0.235,0.731,0.355
Fixed Token Splitting,BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,1.0,1.0,1.0,0.329,0.923,0.485,0.356,1.0,0.525
Fixed Token Splitting,DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.75,1.0,0.857,0.261,0.24,0.25,0.478,0.44,0.458
Fixed Token Splitting,DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.529,1.0,0.692,0.15,0.48,0.229,0.188,0.6,0.286
Fixed Token Splitting,DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.474,1.0,0.643,0.176,0.52,0.263,0.216,0.64,0.323
Fixed Token Splitting,DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.474,1.0,0.643,0.268,0.6,0.37,0.339,0.76,0.469
Fixed Token Splitting,DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.5,1.0,0.667,0.195,0.64,0.299,0.232,0.76,0.355
Fixed Token Splitting,DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.75,1.0,0.857,0.208,0.44,0.282,0.358,0.76,0.487
Fixed Token Splitting,DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.692,1.0,0.818,0.238,0.4,0.299,0.381,0.64,0.478
